slug,page_type,url,status,date_worked,notes
emergency-roofing,service,/services/emergency-roofing,live,,seeded
insurance-claims,service,/services/insurance-claims,live,,seeded
roof-inspections,service,/services/roof-inspections,live,,seeded
roof-installation,service,/services/roof-installation,live,,seeded
roof-repairs,service,/services/roof-repairs,live,,seeded
roof-replacement,service,/services/roof-replacement,live,,seeded
storm-damage-repair,service,/services/storm-damage-repair,live,,seeded
benton-city,location,/service-areas/benton-city,live,,seeded
finley,location,/service-areas/finley,live,,seeded
kennewick,location,/service-areas/kennewick,live,,seeded
pasco,location,/service-areas/pasco,live,,seeded
richland,location,/service-areas/richland,live,,seeded
walla-walla,location,/service-areas/walla-walla,live,,seeded
west-richland,location,/service-areas/west-richland,live,,seeded
yakima,location,/service-areas/yakima,live,,seeded
asphalt-shingles-vs-metal-roofing-kennewick,blog,/blog/asphalt-shingles-vs-metal-roofing-kennewick,live,,seeded
new-roof-cost-kennewick,blog,/blog/new-roof-cost-kennewick,live,,seeded
signs-you-need-roof-replacement-kennewick,blog,/blog/signs-you-need-roof-replacement-kennewick,live,,seeded
spot-bad-roofing-contractor,blog,/blog/spot-bad-roofing-contractor,live,,seeded
storm-wind-damage-roof-repair-tri-cities,blog,/blog/storm-wind-damage-roof-repair-tri-cities,live,,seeded
what-to-expect-free-roof-inspection-kennewick,blog,/blog/what-to-expect-free-roof-inspection-kennewick,live,,seeded
roof-financing-tri-cities,blog,/blog/roof-financing-tri-cities,built,2026-08-17,Mark brief 2026-08-10; queued 2026-08-11 (fleet queue sweep); built 2026-08-17 (rail)
roofing-in-yakima-what-to-know,blog,/blog/roofing-in-yakima-what-to-know,queued,,Mark brief 2026-08-10; queued 2026-08-11 (fleet queue sweep)
